leaf,token,cluster_size,weight,inserted
C-1,02902d180b405100,10,0.037037037037037035,False
C-2,f077a062ad9b55e9,10,0.037037037037037035,False
C-3,273f424fa2fc55ad,10,0.037037037037037035,False
C-4,238f1cddb9415996,10,0.037037037037037035,False
C-5,58d69daf413c5d5a,10,0.037037037037037035,False
C-6,0122ce98b2735558,10,0.037037037037037035,False
C-7,1e9350ac2bc25f59,10,0.037037037037037035,True
C-8,5ac972b34e2e5614,10,0.037037037037037035,False
C-9,6704953640e55b83,10,0.037037037037037035,False
C-10,2bd04a0902095129,10,0.037037037037037035,False
I-1,6fc91bf02f225d1b,10,0.037037037037037035,False
I-2,0d5b8da00d505be0,10,0.037037037037037035,False
I-3,84acc78da95f56d3,10,0.037037037037037035,True
R-1,0027991369e05ab2,10,0.037037037037037035,False
R-2,20cc0fdb7e2d5c3f,10,0.037037037037037035,True
R-3,132307b3c1a55f97,10,0.037037037037037035,True
R-4,225eb6e22af55972,10,0.037037037037037035,True
V-1,42af8e33480d53b3,10,0.037037037037037035,False
V-2,3d324bda0cec57ab,10,0.037037037037037035,False
V-3,c41f71c68ad45f21,10,0.037037037037037035,False
V-4,089e3eac4f7e5c5c,10,0.037037037037037035,False
V-5,07c5114fdb395f8b,10,0.037037037037037035,False
V-6,8661a7e9b4a95042,10,0.037037037037037035,False
V-7,26f4d8d4d72a588e,10,0.037037037037037035,False
V-9,3a5278b27c87565f,10,0.037037037037037035,False
V-10,63c145828c3b5fd8,10,0.037037037037037035,True
V-11,32d85d373126537e,10,0.037037037037037035,False
