following_lane_without_lead	0ce170237acd51c2	1631802030399373	1631802051899853	2021.09.16.13.53.10_veh-42_01510_01591
low_magnitude_speed	56c64f7e47b15e0d	1632942925299693	1632942946799791	2021.09.29.19.02.14_veh-28_00540_00917
medium_magnitude_speed	07846b829b3a575e	1633505927699706	1633505949200480	2021.10.06.07.26.10_veh-52_00422_00728
near_long_vehicle	087023402a695ba3	1629123993999912	1629124015500597	2021.08.16.14.23.37_veh-45_00015_00132
near_pedestrian_on_crosswalk	132307b3c1a55f97	1632927133799810	1632927155299623	2021.09.29.14.44.26_veh-28_00337_00504
near_trafficcone_on_driveable	3067f3d3d5a75989	1632930204299866	1632930225799871	2021.09.29.15.23.04_veh-28_00814_01101
on_carpark	771c4e378bef58e4	1631806376499848	1631806397999607	2021.09.16.15.12.03_veh-42_01037_01434
on_intersection	05f1a5cbc0905d8e	1631821415499815	1631821436999704	2021.09.16.19.12.04_veh-42_01438_01677
on_pickup_dropoff	0fde069313a35062	1622745877100822	1622745898600423	2021.06.03.13.55.17_veh-35_02866_03582
on_stopline_crosswalk	0802a51b0a1d512c	1631801418400139	1631801439899626	2021.09.16.13.53.10_veh-42_00860_01069
on_stopline_stop_sign	0dd3256035e75770	1631811842199761	1631811863699441	2021.09.16.16.20.27_veh-08_02435_02525
on_traffic_light_intersection	02a81792cbdb5dd5	1632942602799588	1632942624299676	2021.09.29.19.02.14_veh-28_00273_00514
starting_protected_cross_turn	34489cf42e005e93	1631808539800258	1631808561300682	2021.09.16.15.47.30_veh-45_01199_01391
starting_protected_noncross_turn	442b2cf63c6f570a	1633508484699654	1633508506199856	2021.10.06.08.16.17_veh-52_00181_00574
starting_unprotected_cross_turn	2391f12d7e6a5e7f	1633510634700374	1633510656199940	2021.10.06.08.16.17_veh-52_01949_02501
stationary	082988f40658562c	1630335930500469	1630335952000436	2021.08.30.14.54.34_veh-40_00439_00835
traversing_crosswalk	029585f0509d52b0	1631823433999902	1631823455500562	2021.09.16.19.49.00_veh-42_00990_01609
traversing_pickup_dropoff	0122ce98b2735558	1624916570599861	1624916592099878	2021.06.28.20.24.43_veh-38_03385_04952
traversing_traffic_light_intersection	00c1e4eb4a045f20	1633506278200211	1633506299700143	2021.10.06.07.26.10_veh-52_00953_01126
unknown	063dc3e59f7158d9	1632942924799539	1632942946299650	2021.09.29.19.02.14_veh-28_00540_00917
