leaf,token,weight,cluster_size,method
C-1,02902d180b405100,0.03571428571428571,10,within_leaf_k1_centroid
C-2,f077a062ad9b55e9,0.03571428571428571,10,within_leaf_k1_centroid
C-3,273f424fa2fc55ad,0.03571428571428571,10,within_leaf_k1_centroid
C-4,238f1cddb9415996,0.03571428571428571,10,within_leaf_k1_centroid
C-5,58d69daf413c5d5a,0.03571428571428571,10,within_leaf_k1_centroid
C-6,0122ce98b2735558,0.03571428571428571,10,within_leaf_k1_centroid
C-7,1e9350ac2bc25f59,0.03571428571428571,10,within_leaf_k1_centroid
C-8,5ac972b34e2e5614,0.03571428571428571,10,within_leaf_k1_centroid
C-9,6704953640e55b83,0.03571428571428571,10,within_leaf_k1_centroid
C-10,2bd04a0902095129,0.03571428571428571,10,within_leaf_k1_centroid
I-1,6fc91bf02f225d1b,0.03571428571428571,10,within_leaf_k1_centroid
I-2,0d5b8da00d505be0,0.03571428571428571,10,within_leaf_k1_centroid
I-3,84acc78da95f56d3,0.03571428571428571,10,within_leaf_k1_centroid
R-1,0027991369e05ab2,0.03571428571428571,10,within_leaf_k1_centroid
R-2,20cc0fdb7e2d5c3f,0.03571428571428571,10,within_leaf_k1_centroid
R-3,132307b3c1a55f97,0.03571428571428571,10,within_leaf_k1_centroid
R-4,225eb6e22af55972,0.03571428571428571,10,within_leaf_k1_centroid
V-1,42af8e33480d53b3,0.03571428571428571,10,within_leaf_k1_centroid
V-2,3d324bda0cec57ab,0.03571428571428571,10,within_leaf_k1_centroid
V-3,c41f71c68ad45f21,0.03571428571428571,10,within_leaf_k1_centroid
V-4,089e3eac4f7e5c5c,0.03571428571428571,10,within_leaf_k1_centroid
V-5,07c5114fdb395f8b,0.03571428571428571,10,within_leaf_k1_centroid
V-6,8661a7e9b4a95042,0.03571428571428571,10,within_leaf_k1_centroid
V-7,26f4d8d4d72a588e,0.03571428571428571,10,within_leaf_k1_centroid
V-8,14c0a657ac3e5bb7,0.03571428571428571,10,within_leaf_k1_centroid
V-9,3a5278b27c87565f,0.03571428571428571,10,within_leaf_k1_centroid
V-10,63c145828c3b5fd8,0.03571428571428571,10,within_leaf_k1_centroid
V-11,32d85d373126537e,0.03571428571428571,10,within_leaf_k1_centroid
