token,leaf,cluster_size,weight_270,weight_280,selection,inserted
0334cae9f1ef56ae,C-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
190c8d0cece45af1,C-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
3af3b3a7a8635164,C-1,3,0.011111111111111112,0.010714285714285714,kmeans,False
4874da28248a5026,C-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
5bd2bc00e2d358e0,C-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
9d791495c47e5061,C-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
2bd04a0902095129,C-10,2,0.007407407407407408,0.007142857142857143,kmeans,False
2c337eb368fb54ca,C-10,1,0.003703703703703704,0.0035714285714285713,kmeans,False
2ccebcdb0da25be5,C-10,1,0.003703703703703704,0.0035714285714285713,kmeans,False
2d24100bcb1e57e2,C-10,1,0.003703703703703704,0.0035714285714285713,kmeans,False
3067f3d3d5a75989,C-10,3,0.011111111111111112,0.010714285714285714,kmeans,False
4d6456183bd056bc,C-10,2,0.007407407407407408,0.007142857142857143,kmeans,False
2eb015a011ac5fa2,C-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
35cf51dd13d559c0,C-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
3a0e2f53c9585e94,C-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
854918c8b7665af0,C-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
888d1fb945ed5982,C-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
cce944facc8158e8,C-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
01649900c5cc58c4,C-3,1,0.003703703703703704,0.0035714285714285713,kmeans,False
03dfd23cf97c590f,C-3,1,0.003703703703703704,0.0035714285714285713,kmeans,False
22f4f105eb64556e,C-3,2,0.007407407407407408,0.007142857142857143,kmeans,False
273f424fa2fc55ad,C-3,3,0.011111111111111112,0.010714285714285714,kmeans,False
3d3804a50285560e,C-3,2,0.007407407407407408,0.007142857142857143,kmeans,False
48f603e3b4335b74,C-3,1,0.003703703703703704,0.0035714285714285713,kmeans,False
0670d0c81a5550c4,C-4,3,0.011111111111111112,0.010714285714285714,kmeans,False
1dae5903323e5214,C-4,1,0.003703703703703704,0.0035714285714285713,kmeans,False
440a60430f4655de,C-4,3,0.011111111111111112,0.010714285714285714,kmeans,False
7e40ef4f0d5b5cc9,C-4,1,0.003703703703703704,0.0035714285714285713,kmeans,False
c895b062e3735053,C-4,1,0.003703703703703704,0.0035714285714285713,kmeans,False
e3e0b3d6d5ae52a1,C-4,1,0.003703703703703704,0.0035714285714285713,kmeans,False
1d0334886e9f535b,C-5,1,0.003703703703703704,0.0035714285714285713,kmeans,False
442b2cf63c6f570a,C-5,2,0.007407407407407408,0.007142857142857143,kmeans,False
58f3f43098985e77,C-5,1,0.003703703703703704,0.0035714285714285713,kmeans,False
671da9103fe05141,C-5,1,0.003703703703703704,0.0035714285714285713,kmeans,False
9a6489254d5f5577,C-5,2,0.007407407407407408,0.007142857142857143,kmeans,False
e244b2ddf97a57d6,C-5,3,0.011111111111111112,0.010714285714285714,kmeans,False
0122ce98b2735558,C-6,2,0.007407407407407408,0.007142857142857143,kmeans,False
07930113a85651b0,C-6,1,0.003703703703703704,0.0035714285714285713,kmeans,False
10cfd645bb645e2e,C-6,1,0.003703703703703704,0.0035714285714285713,kmeans,False
6ad48974e9985e1f,C-6,3,0.011111111111111112,0.010714285714285714,kmeans,False
6f75ee5c660855e7,C-6,2,0.007407407407407408,0.007142857142857143,kmeans,False
d64a3964875f5b41,C-6,1,0.003703703703703704,0.0035714285714285713,kmeans,False
05bcef7a11d65c6a,C-7,1,0.003703703703703704,0.0035714285714285713,kmeans,
0ebb578555b25ab2,C-7,1,0.003703703703703704,0.0035714285714285713,kmeans,True
112db94505025ec5,C-7,1,0.003703703703703704,0.0035714285714285713,kmeans,True
1e9350ac2bc25f59,C-7,2,0.007407407407407408,0.007142857142857143,kmeans,True
54ae4b189e79541b,C-7,4,0.014814814814814815,0.014285714285714285,kmeans,True
5d12ad55fdd858e1,C-7,1,0.003703703703703704,0.0035714285714285713,kmeans,True
096d823b664e5972,C-8,3,0.011111111111111112,0.010714285714285714,kmeans,False
0e6cae45fdd5536b,C-8,1,0.003703703703703704,0.0035714285714285713,kmeans,False
17296f6032025ecc,C-8,1,0.003703703703703704,0.0035714285714285713,kmeans,False
26119d956d46590e,C-8,3,0.011111111111111112,0.010714285714285714,kmeans,False
5ac972b34e2e5614,C-8,1,0.003703703703703704,0.0035714285714285713,kmeans,False
bfcbb192c11b5736,C-8,1,0.003703703703703704,0.0035714285714285713,kmeans,False
342f42c4b2855ffb,C-9,1,0.003703703703703704,0.0035714285714285713,kmeans,False
3838eb184c9d5989,C-9,2,0.007407407407407408,0.007142857142857143,kmeans,False
5c838efd36805c92,C-9,1,0.003703703703703704,0.0035714285714285713,kmeans,False
6704953640e55b83,C-9,3,0.011111111111111112,0.010714285714285714,kmeans,False
8c6c4c4b507c5eb1,C-9,2,0.007407407407407408,0.007142857142857143,kmeans,False
f038fc7ffdab5bad,C-9,1,0.003703703703703704,0.0035714285714285713,kmeans,False
09d33cf8b87c5ae3,I-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
0bcae698fd905226,I-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
36517f1223735d6a,I-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
7962741aebba5e56,I-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
9605af7df76f5ba3,I-1,3,0.011111111111111112,0.010714285714285714,kmeans,False
97146fc0e8525e75,I-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
0c49c66ca32551c2,I-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
0d5b8da00d505be0,I-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
107a64d478fa508f,I-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
2fa724c29a215bc4,I-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
7e5bbdae500e5ad1,I-2,2,0.007407407407407408,0.007142857142857143,kmeans,False
9eb1dcda60165ae3,I-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
03b66343e1ac5d68,I-3,4,0.014814814814814815,0.014285714285714285,kmeans,
131a036a111e54f3,I-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
4fff5f5a86be53d5,I-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
84acc78da95f56d3,I-3,2,0.007407407407407408,0.007142857142857143,kmeans,True
a43dbb1d34665f24,I-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
a6b9a83019915658,I-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
0027991369e05ab2,R-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
045044cb9f21527e,R-1,3,0.011111111111111112,0.010714285714285714,kmeans,False
0b12ac5676875ade,R-1,2,0.007407407407407408,0.007142857142857143,kmeans,False
0d2403a8031f540c,R-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
14d53f85ccc65f23,R-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
1ad96f74e72750db,R-1,1,0.003703703703703704,0.0035714285714285713,kmeans,False
00c1e4eb4a045f20,R-2,3,0.011111111111111112,0.010714285714285714,kmeans,True
054e4984e1b55ec9,R-2,1,0.003703703703703704,0.0035714285714285713,kmeans,True
190bf8dd22a25d1c,R-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
20cc0fdb7e2d5c3f,R-2,3,0.011111111111111112,0.010714285714285714,kmeans,True
2575048779565f0b,R-2,1,0.003703703703703704,0.0035714285714285713,kmeans,True
ac01c31d1a5a5ed2,R-2,1,0.003703703703703704,0.0035714285714285713,kmeans,False
02379e524f105926,R-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
0777f5a7263758be,R-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
087df0996ade50d3,R-3,1,0.003703703703703704,0.0035714285714285713,kmeans,True
0a51eb8adf8e5391,R-3,5,0.018518518518518517,0.017857142857142856,kmeans,
