61b3149306a3501a	2021.10.06.08.16.17_veh-52_00181_00574	1633508435699947	1633508455699947	left	42.8	1/1	sg-one-north
67eb77e9004a503f	2021.09.16.19.49.00_veh-42_00990_01609	1631823396350091	1631823416350091	right	-84.2	1/1	us-pa-pittsburgh-hazelwood
0980dd9cdc0e543a	2021.09.16.19.27.01_veh-45_01749_03230	1631822794300784	1631822814300784	left	86.5	1/1	us-pa-pittsburgh-hazelwood
b66f23071e675170	2021.10.06.08.16.17_veh-52_01949_02501	1633510199849909	1633510219849909	right	-44.8	1/1	sg-one-north
c8600743d9e050a9	2021.10.06.07.26.10_veh-52_01245_02064	1633506952850189	1633506972850189	left	48.2	1/1	sg-one-north
d8353beff3415135	2021.09.16.19.49.00_veh-42_00990_01609	1631823182849934	1631823202849934	right	-84.7	1/1	us-pa-pittsburgh-hazelwood
e9567d54464052f7	2021.09.16.19.49.00_veh-42_00990_01609	1631823420349802	1631823440349802	right	-94.0	1/1	us-pa-pittsburgh-hazelwood
e1526251bd0a53ee	2021.09.16.13.53.10_veh-42_00077_00153	1631800595700071	1631800615700071	right	-98.6	1/2	us-pa-pittsburgh-hazelwood
7c00774138ae5805	2021.10.06.08.16.17_veh-52_00922_01296	1633509271949838	1633509291949838	right	-71.3	1/1	sg-one-north
8decf23c348f5b65	2021.10.06.07.26.10_veh-52_02208_02394	1633507433149836	1633507453149836	left	60.5	1/2	sg-one-north
14c0a657ac3e5bb7	2021.09.16.19.27.01_veh-45_01749_03230	1631822550800044	1631822570800044	right	-70.0	1/1	us-pa-pittsburgh-hazelwood
19fbcfd8a27a5324	2021.10.06.08.16.17_veh-52_00181_00574	1633508562750237	1633508582750237	left	81.8	2/1	sg-one-north
31d01134ae865a73	2021.10.06.08.16.17_veh-52_00922_01296	1633509248449843	1633509268449843	left	58.9	2/1	sg-one-north
