stage,leaf,token,stage1_weight,full50_weight,cluster_size,leaf_size
2,C-1,5bd2bc00e2d358e0,,0.02142857142857143,6,10
2,C-2,3a0e2f53c9585e94,,0.017857142857142856,5,10
2,C-3,01649900c5cc58c4,,0.007142857142857143,2,10
2,C-4,440a60430f4655de,,0.014285714285714285,4,10
2,C-5,9a6489254d5f5577,,0.007142857142857143,2,10
2,C-5,442b2cf63c6f570a,,0.010714285714285714,3,10
2,C-6,6f75ee5c660855e7,,0.010714285714285714,3,10
2,C-8,26119d956d46590e,,0.014285714285714285,4,10
2,C-9,8c6c4c4b507c5eb1,,0.014285714285714285,4,10
2,I-1,0bcae698fd905226,,0.014285714285714285,4,10
2,R-1,0d2403a8031f540c,,0.014285714285714285,4,10
2,R-4,061e7e1700945b03,,0.0035714285714285713,1,10
2,V-1,67abcf0964415891,,0.014285714285714285,4,10
2,V-1,0ba54149d1575f95,,0.007142857142857143,2,10
2,V-3,cc108c5480345911,,0.017857142857142856,5,10
2,V-4,2845a5483a0f57de,,0.017857142857142856,5,10
2,V-5,0b1250020ea95539,,0.010714285714285714,3,10
2,V-6,39d1f561e06054c5,,0.017857142857142856,5,10
2,V-7,0ce170237acd51c2,,0.014285714285714285,4,10
2,V-9,01a58976a2e45a3d,,0.014285714285714285,4,10
2,V-10,14d171fcb9295596,,0.014285714285714285,4,10
2,V-11,0317b218061b5c4d,,0.0035714285714285713,1,10
